@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.53214,0.44839,0.48968,0.46435,0.50284,0.45342,0.48151,0.51228,0.47193,0.46752,0.44989,0.49113,0.53812,0.50841,0.43719,0.51899,0.50377,0.48791,0.46827,0.49752,0.50267,0.90209,0.42998,0.89921,0.90526,0.42060,0.85281,0.03837,gang
0.52739,0.45323,0.47664,0.46419,0.50846,0.45158,0.49114,0.50624,0.48756,0.47399,0.45605,0.48053,0.53966,0.50559,0.44412,0.51155,0.50365,0.49017,0.46298,0.49823,0.50087,0.88917,0.49194,0.94836,0.89661,0.49501,0.93955,0.04450,gang
0.53481,0.45300,0.48886,0.46511,0.50544,0.45001,0.48376,0.50470,0.47737,0.47010,0.45665,0.48418,0.53588,0.49849,0.44972,0.51620,0.50246,0.48540,0.46182,0.49556,0.50589,0.91968,0.43440,0.97321,0.92540,0.49716,0.90137,0.05117,gang
0.53568,0.45436,0.49099,0.46109,0.51111,0.44752,0.48688,0.50821,0.48361,0.47269,0.45627,0.48157,0.54359,0.50979,0.44832,0.50944,0.50475,0.49078,0.46325,0.49901,0.49785,0.92772,0.39530,0.92214,0.91250,0.45447,0.95459,0.04483,gang
0.53360,0.45284,0.48401,0.46249,0.50997,0.45078,0.48703,0.50652,0.48258,0.47056,0.45825,0.48234,0.54123,0.50476,0.44395,0.52250,0.50246,0.49447,0.47244,0.49823,0.50597,0.92157,0.43405,0.95922,0.92661,0.47625,0.80803,0.03557,gang
0.53323,0.45018,0.48640,0.45905,0.51429,0.44601,0.48961,0.50490,0.48601,0.47065,0.45525,0.48108,0.54380,0.50802,0.43801,0.51596,0.50315,0.49275,0.47025,0.49990,0.49790,0.90558,0.41460,0.93285,0.91096,0.47606,0.82722,0.03716,gang
0.53693,0.45183,0.49043,0.46548,0.51302,0.45049,0.48369,0.50682,0.47933,0.47584,0.45996,0.48181,0.53883,0.50450,0.44587,0.51449,0.50115,0.49322,0.46460,0.49193,0.50798,0.90775,0.39218,0.96884,0.89835,0.49930,0.87541,0.04996,gang
0.53369,0.45327,0.48500,0.46204,0.50801,0.45406,0.48574,0.50970,0.48128,0.47386,0.45688,0.48181,0.54134,0.50682,0.44637,0.51414,0.50513,0.49031,0.46695,0.49846,0.49964,0.91264,0.42911,0.93533,0.90329,0.47657,0.91592,0.04007,gang
0.53287,0.45346,0.48750,0.46272,0.51007,0.45024,0.48569,0.50635,0.48661,0.47155,0.45604,0.48608,0.53996,0.50837,0.44384,0.51574,0.50388,0.49216,0.46998,0.49887,0.50148,0.91669,0.42077,0.89181,0.91648,0.45111,0.88606,0.03899,gang
0.53205,0.44929,0.48754,0.46303,0.51412,0.45392,0.48205,0.50882,0.47962,0.47215,0.45356,0.48705,0.53956,0.51119,0.43891,0.50909,0.50419,0.49428,0.46524,0.49986,0.50638,0.90294,0.39990,0.97211,0.89867,0.44706,0.90137,0.04228,gang
0.53478,0.45511,0.48229,0.46387,0.51064,0.45354,0.48131,0.50532,0.48367,0.47179,0.45730,0.48151,0.54208,0.50731,0.44427,0.50836,0.50428,0.49092,0.46586,0.49851,0.50032,0.93429,0.43198,0.94638,0.92479,0.47237,0.94994,0.04142,gang
