@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.13476,-0.18692,-0.06000,-0.15184,0.03204,-0.18376,-0.05704,0.03880,-0.07488,-0.10456,-0.17248,-0.07276,0.16536,0.02728,-0.21452,0.05656,0.02052,-0.03876,-0.13220,-0.00616,-0.00144,2.86714,1.34809,2.93843,2.83777,1.49719,2.87745,0.13881,gang
0.13148,-0.18616,-0.05000,-0.14912,0.04028,-0.19904,-0.05724,0.02540,-0.05356,-0.11380,-0.17584,-0.05568,0.15984,0.03348,-0.22464,0.06296,0.01552,-0.03136,-0.12008,-0.00452,0.00592,2.87987,1.32189,2.80170,2.87921,1.41720,2.78364,0.13507,gang
0.12820,-0.20284,-0.04984,-0.14788,0.05648,-0.18432,-0.07180,0.03528,-0.08152,-0.11140,-0.18576,-0.05180,0.15824,0.04476,-0.24436,0.03636,0.01676,-0.02288,-0.13904,-0.00056,0.02552,2.83667,1.25632,3.05397,2.82326,1.40448,2.83174,0.14646,gang
0.13912,-0.17956,-0.07084,-0.14452,0.04256,-0.18584,-0.07476,0.02128,-0.06532,-0.11284,-0.17080,-0.07396,0.16832,0.02924,-0.22292,0.03344,0.01712,-0.03632,-0.13656,-0.00596,0.00128,2.93516,1.35711,2.97314,2.90531,1.48399,2.98432,0.14348,gang
0.13576,-0.19500,-0.04388,-0.17488,0.04680,-0.21188,-0.05700,0.02412,-0.06116,-0.10660,-0.18376,-0.06712,0.15200,0.02892,-0.24464,0.06200,0.01244,-0.05508,-0.10444,0.00268,-0.02816,2.87138,1.26459,2.79140,2.81031,1.52725,2.88612,0.13856,gang
0.13384,-0.17664,-0.06892,-0.12124,0.06540,-0.17300,-0.08308,-0.00096,-0.08928,-0.11416,-0.17572,-0.08960,0.16996,0.03440,-0.21364,0.05776,0.01324,-0.02776,-0.13768,-0.00848,-0.00428,2.88637,1.29877,2.77657,2.87327,1.50419,2.84556,0.14511,gang
0.15900,-0.18176,-0.05564,-0.13596,-0.00920,-0.16728,-0.08940,0.06312,-0.11604,-0.11156,-0.17804,-0.07220,0.16304,0.02668,-0.22908,0.03928,0.01632,-0.03880,-0.13752,-0.00324,0.02140,2.95750,1.42349,2.71025,2.90016,1.50244,2.94094,0.14425,gang
0.13188,-0.17160,-0.09016,-0.16252,0.04472,-0.19136,-0.06512,0.01476,-0.04676,-0.11580,-0.17096,-0.08304,0.17708,0.03204,-0.21504,0.04220,0.01632,-0.02876,-0.11604,-0.00404,-0.00148,2.88244,1.41513,2.83783,2.92853,1.47419,2.94794,0.12408,gang
0.15396,-0.17620,-0.04988,-0.14352,0.03332,-0.19956,-0.07016,0.02176,-0.09100,-0.12176,-0.16084,-0.06684,0.16540,0.01504,-0.21336,0.05292,0.01620,-0.04556,-0.14576,-0.00700,0.01952,2.96183,1.30869,3.06912,2.98103,1.46364,2.90509,0.15408,gang
0.10552,-0.19288,-0.05948,-0.13456,-0.02372,-0.18968,-0.03928,0.02004,-0.07620,-0.08704,-0.18332,-0.09364,0.17476,-0.01704,-0.19556,0.03736,0.00196,-0.04112,-0.14672,0.01404,-0.02996,2.71006,1.64899,2.80428,2.68411,1.70730,2.88939,0.16035,gang
0.14192,-0.21084,-0.02904,-0.15088,0.03280,-0.22244,-0.05540,0.02724,-0.08100,-0.11780,-0.19652,-0.07588,0.17056,0.02152,-0.24916,0.03788,0.01388,-0.02580,-0.14036,0.00024,-0.00772,2.83359,1.29716,2.96554,2.84396,1.52738,2.51742,0.15062,gang
